順位,タイトル,巻数,発売日
201,愛蔵版 蛮勇引力 上 (ジェッツコミックス),1,2007-09-28
202,漫画　ゆうえんち　－バキ外伝－　10 (少年チャンピオン・コミックス),10,2026-06-08
203,学園物の乙女ゲームの世界に転生したけど、チート持ちの背景男子生徒だったようです。（コミック） ： 10 (モンスターコミックス),10,2026-06-13
204,日本三國（４） (マンガワンコミックス),,2023-06-12
205,悪役令嬢の矜持～婚約者を奪い取って義姉を追い出した私は、どうやら今から破滅するようです。～（コミック） 3巻 (デジタル版ガンガンコミックスＵＰ！),3,2025-10-07
206,黄泉のツガイ 11巻 (デジタル版ガンガンコミックス),11,2025-11-12
207,陰の実力者になりたくて！　（１８） (角川コミックス・エース),,2026-05-25
210,異世界商人　スキル＜異世界渡航＞を駆使して、悠々自適なお金持ちスローライフを送ります（コミック） ： 2 (モンスターコミックス),2,2025-03-14
211,ぼっち・ざ・ろっく！　８巻 (まんがタイムＫＲコミックス),8,2025-11-27
214,黄泉のツガイ 10巻 (デジタル版ガンガンコミックス),10,2025-07-11
215,異世界商人　スキル＜異世界渡航＞を駆使して、悠々自適なお金持ちスローライフを送ります（コミック） ： 1 (モンスターコミックス),1,2024-11-15
216,肥満令嬢は細くなり、後は傾国の美女（物理）として生きるのみ@COMIC 第1巻 (コロナ・コミックス),1,2025-07-01
217,レベル0の無能探索者と蔑まれても実は世界最強です 3 ～探索ランキング1位は謎の人～ (電撃コミックスNEXT),3,2026-06-10
219,幼なじみガール (芳文社コミックス),,2011-04-16
223,ゲーム知識で最強に成ったモブ兵士は、真の実力を隠したい（コミック） ： 1 (モンスターコミックス),1,2025-04-28
225,ハチワンダイバー 1 (ヤングジャンプコミックスDIGITAL),1,2006-12-19
226,あなた達それでも先生ですかっ！ 1 (ヤングジャンプコミックスDIGITAL),1,2024-06-19
227,KEYMAN(1) (RYU COMICS),1,2011-12-15
228,黄泉のツガイ 9巻 (デジタル版ガンガンコミックス),9,2025-03-12
231,みいちゃんと山田さん（６） (マガジンポケットコミックス),,2026-04-23
233,貴方に未練はありません！～浮気者の婚約者を捨てたら王子様の溺愛が待っていました～（コミック） ： 1 (モンスターコミックスｆ),1,2024-10-21
239,スロースターター (芳文社コミックス),,2016-07-15
243,うちのメイドがウザすぎる！ ： 10 (アクションコミックス),10,2023-03-09
245,バリスタ　1巻 (芳文社コミックス),1,2010-03-16
246,え、社内システム全てワンオペしている私を解雇ですか？（コミック）【電子版特典付】５ (PASH! コミックス),,2026-06-05
247,ハチワンダイバー 3 (ヤングジャンプコミックスDIGITAL),3,2007-06-19
249,黄泉のツガイ 8巻 (デジタル版ガンガンコミックス),8,2024-09-12
250,巻き込まれて召喚された限界OL、ギルド所属の【魔物解体嬢】として奮闘中　THE COMIC 1巻 (マッグガーデンコミックスBeat'sシリーズ),1,2025-11-14
253,ウィッチウォッチ 26 (ジャンプコミックスDIGITAL),26,2026-06-04
255,ハチワンダイバー 2 (ヤングジャンプコミックスDIGITAL),2,2007-03-19
257,黄泉のツガイ 7巻 (デジタル版ガンガンコミックス),7,2024-05-11
258,うちのメイドがウザすぎる！ ： 9 (アクションコミックス),9,2022-05-12
259,うちのメイドがウザすぎる！ ： 6 (アクションコミックス),6,2020-03-12
261,うちのメイドがウザすぎる！ ： 5 (アクションコミックス),5,2019-08-08
263,うちのメイドがウザすぎる！ ： 7 (アクションコミックス),7,2020-11-12
264,うちのメイドがウザすぎる！ ： 8 (アクションコミックス),8,2021-08-11
267,うちのメイドがウザすぎる！ ： 4 (アクションコミックス),4,2018-11-12
268,悪役令嬢の成り上がり～隣国で宝石の聖女と呼ばれるまで～（コミック） ： 1 (モンスターコミックスｆ),1,2025-12-23
269,最強宮廷指南役のおっさん、追放された僻地で無双する～幻となった種族の美少女たちを育てて辺境を開拓～（コミック） ： 3 (モンスターコミックス),3,2025-08-13
274,図書館の主　1巻 (芳文社コミックス),1,2011-08-09
275,空挺ドラゴンズ（２２） (アフタヌーンコミックス),,2026-06-05
283,幼馴染のS級パーティーから追放された聖獣使い。万能支援魔法と仲間を増やして最強へ！　10 (ドラゴンコミックスエイジ),10,2026-06-09
286,誰にも愛されないので床を磨いていたらそこが聖域化した令嬢の話（コミック） ： 6 (モンスターコミックスｆ),6,2026-06-10
287,寝取られ追放された最強騎士団長のおっさん、片田舎で英雄に祭り上げられる（コミック） ： 1 (モンスターコミックス),1,2025-10-28
288,黄泉のツガイ 1巻 (デジタル版ガンガンコミックス),1,2022-06-10
291,学研まんが世界の歴史　1　古代文明のおこりとピラミッドにねむる王たち,,1997-03-30
292,それでも僕らはヤってない　１巻 (トレイルコミックス),1,2015-07-16
293,名探偵マーニー　2 (少年チャンピオン・コミックス),2,2013-03-01
295,最強宮廷指南役のおっさん、追放された僻地で無双する～幻となった種族の美少女たちを育てて辺境を開拓～（コミック） ： 2 (モンスターコミックス),2,2025-02-15
298,うちのメイドがウザすぎる！ ： 1 (アクションコミックス),1,2017-01-12
