順位,タイトル,巻数,発売日
33,薬屋のひとりごと～猫猫の後宮謎解き手帳～（２２） (サンデーGXコミックス),22,2026-06-18
62,釣って食べたいギャル澤さん 6 (ヤングジャンプコミックスDIGITAL),6,2026-06-18
66,COSMOS（９） (サンデーGXコミックス),9,2026-06-18
67,尾守つみきと奇日常。（１０） (少年サンデーコミックス),10,2026-06-18
94,トニカクカワイイ（３６） (少年サンデーコミックス),36,2026-06-18
101,カテナチオ 9 (ヤングジャンプコミックスDIGITAL),9,2026-06-18
108,超人X 16 (ヤングジャンプコミックスDIGITAL),16,2026-06-18
111,レッドブルー（１８） (少年サンデーコミックス),18,2026-06-18
125,いとこのお姉ちゃんに甘えちゃう？ 5 (ヤングジャンプコミックスDIGITAL),5,2026-06-18
128,百瀬アキラの初恋破綻中。【電子版特典付き】（７） (少年サンデーコミックス),7,2026-06-18
130,カモのネギには毒がある 加茂教授の人間経済学講義 14 (ヤングジャンプコミックスDIGITAL),14,2026-06-18
141,帝乃三姉妹は案外、チョロい。（１９） (少年サンデーコミックス),19,2026-06-18
142,元勇者は静かに暮らしたい 6 (ヤングジャンプコミックスDIGITAL),6,2026-06-18
150,スライム聖女 7 (ヤングジャンプコミックスDIGITAL),7,2026-06-18
223,龍と苺（２７） (少年サンデーコミックス),27,2026-06-18
239,こんづくし 3 (ヤングジャンプコミックスDIGITAL),3,2026-06-18
251,ヤンキー君と科学ごはん 9 (ヤングジャンプコミックスDIGITAL),9,2026-06-18
260,MAO (29) (少年サンデーコミックス),29,2026-06-18
261,界変の魔法使い（４） (少年サンデーコミックス),4,2026-06-18
339,酒のほそ道 (59) (ニチブンコミックス),59,2026-06-18
358,空をまとって 9 (ヤングジャンプコミックスDIGITAL),9,2026-06-18
397,機動戦士ガンダム アグレッサー (24) (少年サンデーコミックススペシャル),24,2026-06-18
398,303号室の神さま3,,2026-06-18
418,ミナミザスーパーエボリューション 3 (ヤングジャンプコミックスDIGITAL),3,2026-06-18
419,魔老紳士ビーティー (ジャンプコミックス),,2026-06-18
431,俺だけ不遇スキルの異世界召喚叛逆記～最弱スキル【吸収】が全てを飲み込むまで～ 16 (ヤングジャンプコミックスDIGITAL),16,2026-06-18
444,ぜんぶ壊して地獄で愛して（6） (百合姫コミックス),6,2026-06-18
467,機動戦士ガンダム ラストホライズン 7 (ヤングジャンプコミックスDIGITAL),7,2026-06-18
561,世界に一人、全属性魔法の使い手 9 (ヤングジャンプコミックスDIGITAL),9,2026-06-18
596,ガス灯野良犬探偵団 11 (ヤングジャンプコミックスDIGITAL),11,2026-06-18
639,【世界最強の執事】ブラック職場を追放された俺、氷の令嬢に拾われる ～生活魔法を駆使して無双していたら、幸せな暮らしが始まりました～ 7 (ヤングジャンプコミックスDIGITAL),7,2026-06-18
699,僕らのアイは気持ち悪い（3） (百合姫コミックス),3,2026-06-18
750,バグエゴ 4 (ヤングジャンプコミックスDIGITAL),4,2026-06-18
