タイトル,巻数,発売日,6時順位,18時順位,順位変化,ランク上昇率(%)
HUNTER×HUNTER モノクロ版 39 (ジャンプコミックスDIGITAL),39,2026-07-03,1,1,0,0
ONE PIECE 115 (ジャンプコミックス),115,2026-07-03,5,4,+1,20
理想のヒモ生活(26) (角川コミックス・エース),26,2026-07-03,20,17,+3,15
魔男のイチ 9 (ジャンプコミックスDIGITAL),9,2026-07-03,47,21,+26,55.3
血界戦線 Beat 3 Peat 4 (ジャンプコミックスDIGITAL),4,2026-07-03,38,22,+16,42.1
王国へ続く道　奴隷剣士の成り上がり英雄譚　20 (ヒューコミックス),20,2026-07-03,43,24,+19,44.2
ふつうの軽音部 11 (ジャンプコミックスDIGITAL),11,2026-07-03,63,27,+36,57.1
アオのハコ 26 (ジャンプコミックスDIGITAL),26,2026-07-03,68,29,+39,57.4
ダークギャザリング 20 (ジャンプコミックスDIGITAL),20,2026-07-03,102,30,+72,70.6
キン肉マン 93 (ジャンプコミックス),93,2026-07-03,114,54,+60,52.6
ケントゥリア 9 (ジャンプコミックスDIGITAL),9,2026-07-03,235,66,+169,71.9
秘密 season 0 13 (花とゆめコミックススペシャル),13,2026-07-03,113,70,+43,38.1
ラーメン赤猫 15 (ジャンプコミックスDIGITAL),15,2026-07-03,267,127,+140,52.4
無自覚な天才少女は気付かない 7 (花とゆめコミックススペシャル),7,2026-07-03,947,144,+803,84.8
31歳地味眼鏡OLさん(6) (ヤングキングコミックス),6,2026-07-03,262,147,+115,43.9
ひまてん！ 10 (ジャンプコミックスDIGITAL),10,2026-07-03,635,187,+448,70.6
悪女は砂時計をひっくり返す 11 (piccomics),11,2026-07-03,938,354,+584,62.3
エクソシストを堕とせない 15 (ジャンプコミックスDIGITAL),15,2026-07-03,1481,395,+1086,73.3
マリッジトキシン 18 (ジャンプコミックスDIGITAL),18,2026-07-03,1471,409,+1062,72.2
WITCHRIV 3 (ジャンプコミックスDIGITAL),3,2026-07-03,1111,440,+671,60.4
Mr.Clice 15 (ジャンプコミックス),15,2026-07-03,715,441,+274,38.3
帝国の恋嫁 9 (花とゆめコミックス),9,2026-07-03,3318,603,+2715,81.8
遊☆戯☆王OCG STORIES 7 (ジャンプコミックス),7,2026-07-03,1164,924,+240,20.6
戦奏教室 14 (ジャンプコミックスDIGITAL),14,2026-07-03,2684,936,+1748,65.1
地獄先生ぬ~べ~怪 3 (ジャンプコミックス),3,2026-07-03,2102,1036,+1066,50.7
くまクマ熊ベアー外伝～ユナのよりみち手帖～５ (PASH! コミックス),,2026-07-03,2086,1213,+873,41.9
羽鳥と古田の非日常茶飯事 2 (ジャンプコミックスDIGITAL),2,2026-07-03,3190,1555,+1635,51.3
