順位,タイトル,巻数,発売日
10,ブルーロック（３９） (週刊少年マガジンコミックス),39,2026-06-17
103,ドラハチ（１０）　電子限定描きおろし特典つき (月刊少年マガジンコミックス),10,2026-06-17
109,彼女、お借りします（４６） (週刊少年マガジンコミックス),46,2026-06-17
120,紫雲寺家の子供たち 10 (ヤングアニマルコミックス),10,2026-06-17
190,盤上のオリオン（１０） (週刊少年マガジンコミックス),10,2026-06-17
233,カッコウの許嫁（３３） (週刊少年マガジンコミックス),33,2026-06-17
249,スモークブルーの雨のち晴れ 9【電子特典付き】 (フルールコミックス),,2026-06-17
258,よわよわ先生（１８） (週刊少年マガジンコミックス),18,2026-06-17
281,龍狼伝 王霸立国編(12) (月刊少年マガジンKC),12,2026-06-17
292,聖女に嘘は通じない（６） (月刊少年マガジンコミックス),6,2026-06-17
319,コミック百合姫 2026年8月号[雑誌],,2026-06-17
595,鉄拳チンミLegends(29) (月刊少年マガジンKC),29,2026-06-17
613,アイドラトリィ（４） (週刊少年マガジンコミックス),4,2026-06-17
748,惚れ薬イベントが私に起きてしまいました　4 (Pomme Comics),4,2026-06-17
791,ニューノーマル【単行本版】９ (コミックアウル),,2026-06-17
1026,異世界ハーレムループ～繰り返される1日から脱出する為に抱きまくります～【単行本版】(2) (GG-COMICS),2,2026-06-17
1027,陸奥圓明流異界伝　修羅の紋　ムツさんはチョー強い？！（１８） (月刊少年マガジンコミックス),18,2026-06-17
2354,デッドアカウント（１５） (週刊少年マガジンコミックス),15,2026-06-17
2633,ディストピア～移住先は不貞の島でした～【単行本版】３ (コミックアウル),,2026-06-17
3760,ただの友達じゃなくなる瞬間 ８【電子特典付き】 (フルールコミックス),,2026-06-17
3904,たあいないのうりょく (2) (バンブーコミックス),2,2026-06-17
4999,一途溺愛宣言~悪役令嬢なのに無敵な彼から愛されまくり!?~コミックアンソロジー (フロース コミック),,2026-06-17
5892,保健師がきた(3) (ジュールコミックス),3,2026-06-17
6899,君と桜の花束を(1) (月刊少年マガジンKC),1,2026-06-17
7346,淫らな4Pシェアハウス Love×4 (2) (fleur comics),2,2026-06-17
8191,新居の押し入れに毎晩異世界から淫紋付きおじさんが来る(1) (Pomme Comics),1,2026-06-17
8519,最強の職業は勇者でも賢者でもなく鑑定士(仮)らしいですよ? (12) (アルファポリスCOMICS),12,2026-06-17
8614,悠と晴 ４【電子特典付き】 (フルールコミックス),,2026-06-17
9611,ぎゅ～っと！アグレッション【電子限定特典付き】 (バンブーコミックス 恋愛天国☆恋パラコレクション),,2026-06-17
9923,拷問できるもんっ！ (4) (バンブーコミックス),4,2026-06-17
15832,新世界ビルダーズ！～クラス24「体」で生き残れ～ (3) (バンブーコミックス 異世界BC),3,2026-06-17
16630,ビーインヒートラブシック (バンブーコミックス Qpaコレクション),,2026-06-17
17339,旅する姫さまと願いの聖剣 (1) (アルファポリスCOMICS),1,2026-06-17
17717,裏東京のオソロシドコロ(1) (少年マガジンKC),1,2026-06-17
17818,お人好し底辺テイマーがSSSランク聖獣たちともふもふ無双する (2) (アルファポリスCOMICS),2,2026-06-17
18702,筋肉軍記 信長のトレーナー(3) (バンブーコミックス 異世界BC),3,2026-06-17
19696,俺の猫執事が言う事を聞かない件 (フルールコミックス),,2026-06-17
20412,型録通販から始まる、追放令嬢のスローライフ (2) (アルファポリスCOMICS),2,2026-06-17
20436,序盤で死ぬ最強のサブキャラに転生したので、ゲーム知識で無双する１ (comicスピラ),,2026-06-17
20993,虐げられ令嬢、辺境の色ボケ老人の後妻になるはずが、美貌の辺境伯さまに溺愛されるなんて聞いていません! 1 (フロース コミック),1,2026-06-17
23006,婚約者に嫌われているようなので離れてみたら、なぜか抗議されました 1 (フロース コミック),1,2026-06-17
23413,ギベットルーム (2) (バンブーコミックス),2,2026-06-17
23704,没落した貴族家に拾われたので恩返しで復興させます (2) (アルファポリスCOMICS),2,2026-06-17
23987,真田芽依はアイドルの嘘を信じてる ： 3 (ジュールコミックス),3,2026-06-17
24099,国光さんはしつけが足りない (バンブーコミックス Qpaコレクション),,2026-06-17
26115,小悪魔JKサイコ第25話 (サイコワコミック),,2026-06-17
27750,旧フリテンくん (3) (バンブーコミックス),3,2026-06-17
28596,最恐辺境伯に拾われました、小鳥(=悪女?)です 1 (フロース コミック),1,2026-06-17
29243,３次元お断りな私の契約結婚(1) (ジュールコミックス),1,2026-06-17
29652,塩対応な幼なじみがなぜか俺だけに甘いんですけど!? (Ｓｐｌｕｓｈコミックス),,2026-06-17
29707,花凛さん、つじつまが合いません！ 分冊版 ： 28 (ジュールコミックス),28,2026-06-17
30723,呪われ公爵と捨てられた花嫁の最愛婚２ (comic スピラ),,2026-06-17
35479,専業主婦だけど、食い尽くし夫と離婚します　第1巻 (コミックエッセイ),1,2026-06-17
35883,余命一年の心読みの令嬢は冷酷非道と噂される皇帝に溺愛される~彼の本音は甘すぎます~ 1 (フロース コミック),1,2026-06-17
57235,禍＜わざわい＞の魔女と呼ばれた転生幼女、今世こそ幸せになるためにがんばります！ (comicスピラ),,2026-06-17
65006,塩対応な幼なじみがなぜか俺だけに甘いんですけど！？【電子書籍特装版】 (Splushコミックス),,2026-06-17
66541,転生したら没落貴族だったので、【呪言】を極めて家族を救います１ (comicスピラ),,2026-06-17
66605,転生したら没落貴族だったので、【呪言】を極めて家族を救います２ (comicスピラ),,2026-06-17
73875,恋は異なもの推しなもの (スリーズロゼコミックス),,2026-06-17
78118,経験をスキルにする万能な能力を手に入れて、最強の探索者になりました～JKと一緒にダンジョン探索で成り上がる～【分冊版】（12） (マンガBANGコミックス),12,2026-06-17
81257,透明な鱗の人魚の味は【分冊版】（8） (マンガBANGコミックス),8,2026-06-17
—,異世界で姉に名前を奪われました　5 (ＦＬＯＳ　ＣＯＭＩＣ),5,2026-06-17
—,オークの樹の下　５ (ＦＬＯＳ　ＣＯＭＩＣ),5,2026-06-17
—,マンガでわかる 四毒抜きのすすめ 小麦・植物油・乳製品・甘いものはダメ,,2026-06-17
—,薬売りの聖女 (3)　～冤罪で追放された薬師は、辺境の地で幸せを掴む～ (ＦＬＯＳ　ＣＯＭＩＣ),3,2026-06-17
—,異世界でのんびり癒し手はじめます6　～毒にも薬にもならないから転生したお話～ (ＦＬＯＳ　ＣＯＭＩＣ),,2026-06-17
—,前世が伝説の大魔女だった不遇聖女は皇帝陛下に溺愛されています（3） (ＦＬＯＳ　ＣＯＭＩＣ),3,2026-06-17
—,推しの執着心を舐めていた　４ (ＦＬＯＳ　ＣＯＭＩＣ),4,2026-06-17
—,推しの執着心を舐めていた　５ (ＦＬＯＳ　ＣＯＭＩＣ),5,2026-06-17
—,初恋の少年は冷徹騎士に豹変していました　2　全力で告白されるなんて想定外です!! (ＦＬＯＳ　ＣＯＭＩＣ),,2026-06-17
—,こじらせ王太子と約束の姫君 7【電子限定特典付き】 (ＦＬＯＳ　ＣＯＭＩＣ),,2026-06-17
—,捨てられ聖女の幸せ餌付け生活 ~二度目の人生は美食の国(にっぽん)で育児初心者に拾われました~ 1 (フロース コミック),1,2026-06-17
—,速水螺旋人の馬車馬大作戦bis 赤本 新装版,,2026-06-17
